SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
304;12;0,2264151;9;0;0;0;
305;16;0,29090908;16;0;0;13;
306;0;0,0;0;0;0;0;
307;5;0,10204082;2;0;0;7;
308;21;0,2658228;14;0;0;22;
309;15;0,3409091;14;0;0;0;
310;1;0,029411765;0;0;1;0;
311;16;0,30769232;5;0;0;10;
312;10;0,17857143;7;0;0;9;
313;11;0,16666667;7;0;0;18;
314;23;0,39655173;14;0;0;1;
315;14;0,23333333;12;0;0;5;
316;17;0,2982456;14;0;0;19;
317;0;0,0;0;0;0;0;
318;6;0,12765957;2;0;0;27;
319;0;0,0;0;0;0;0;
320;2;0,25;2;0;0;0;
321;13;0,21666667;13;0;0;15;
322;0;0,0;0;0;0;0;
323;0;0,0;0;0;0;0;
324;3;0,06382979;3;0;0;6;
325;0;0,0;0;0;0;0;
326;0;0,0;0;0;0;1;
327;9;0,1875;9;0;0;0;
328;1;0,01754386;0;0;1;2;
329;3;0,07692308;3;0;0;2;
330;3;0,115384616;0;1;0;0;
331;10;0,18181819;0;4;0;9;
332;0;0,0;0;0;0;11;
333;3;0,075;0;1;0;0;
334;0;0,0;0;0;0;0;
335;5;0,125;1;0;0;9;
336;12;0,42857143;12;0;0;0;
337;0;0,0;0;0;0;0;
338;13;0,19402985;9;0;0;5;
339;5;0,094339624;0;2;0;4;
340;7;0,118644066;2;0;0;12;
341;8;0,18604651;1;0;0;1;
342;10;0,19607843;10;0;0;5;
343;0;0,0;0;0;0;0;
344;0;0,0;0;0;0;0;
345;0;0,0;0;0;0;0;
346;0;0,0;0;0;0;7;
347;1;0,017857144;0;1;0;17;
348;11;0,2972973;10;0;0;0;
349;4;0,08163265;2;0;0;21;
350;0;0,0;0;0;0;0;
351;1;0,023255814;0;0;1;13;
352;0;0,0;0;0;0;2;
353;0;0,0;0;0;0;1;
354;4;0,08888889;1;0;0;6;
355;8;0,17021276;6;0;0;0;
356;0;0,0;0;0;0;0;
357;0;0,0;0;0;0;0;
358;0;0,0;0;0;0;20;
359;5;0,12820514;5;0;0;11;
360;8;0,12903225;7;0;0;26;
361;11;0,17741935;10;0;0;12;
362;0;0,0;0;0;0;0;
363;0;0,0;0;0;0;0;
364;1;0,01754386;0;0;1;14;
365;0;0,0;0;0;0;0;
366;6;0,10909091;0;4;0;2;
367;0;0,0;0;0;0;0;
368;0;0,0;0;0;0;0;
369;0;0,0;0;0;0;0;
370;0;0,0;0;0;0;0;
371;10;0,25641027;10;0;0;0;
372;8;0,14814815;7;0;0;7;
373;0;0,0;0;0;0;0;
374;0;0,0;0;0;0;0;
375;7;0,17948718;7;0;0;0;
376;2;0,2857143;0;1;0;0;
377;14;0,19444445;12;0;0;27;
378;13;0,3611111;13;0;0;8;
379;0;0,0;0;0;0;2;
380;0;0,0;0;0;0;0;
381;0;0,0;0;0;0;0;
382;3;0,23076923;0;3;0;0;
383;0;0,0;0;0;0;20;
384;1;0,016949153;0;0;1;30;
385;1;0,024390243;0;0;1;3;
386;0;0,0;0;0;0;0;
387;2;0,057142857;0;1;0;0;
388;0;0,0;0;0;0;0;
389;6;0,17142858;3;0;0;0;
390;0;0,0;0;0;0;0;
391;1;0,023255814;0;0;1;4;
392;2;0,044444446;0;0;2;21;
393;0;0,0;0;0;0;0;
394;0;0,0;0;0;0;0;
395;0;0,0;0;0;0;0;
396;0;0,0;0;0;0;8;
